Name,Created,Tags,Updated
Platform Based Development,"January 16, 2023 4:01 PM","Blockchain, Mobile","December 23, 2023 10:53 AM"
Intelligence,"September 17, 2022 11:48 AM","Espionage, blueteam, code security, cryptography, cybersecurity, information gathering, reverse engineering, security, steganography","December 23, 2023 10:47 AM"
Foundations of Computing,"December 12, 2022 2:10 PM","Computational Thinking, Computer science, Introduction to programming, Science","December 23, 2023 8:58 AM"
Artificial Intelligence,"January 8, 2021 3:32 PM",Computer science,"December 22, 2023 9:16 PM"
Distributed Systems,"January 20, 2023 6:31 PM","Computer science, Design of systems, Network system, Parallel computing","December 22, 2023 9:30 AM"
Data Science,"December 6, 2022 10:59 AM",,"December 21, 2023 11:24 PM"
Operating system,"July 11, 2022 12:18 PM","Algorithms, Computer science","December 21, 2023 12:10 PM"
Discrete mathematics,"January 6, 2021 1:39 PM","Concrete mathematics, Discrete structures, Finite mathematics, Math","December 20, 2023 7:49 PM"
"Database, datasets and spreadsheets","June 9, 2021 10:15 AM",Computer science,"December 20, 2023 1:14 PM"
[v2.0] Software Engineering,"August 20, 2022 9:02 PM",,"December 19, 2023 10:55 AM"
New enterprises,"June 6, 2022 8:38 AM","Business, entrepreneurship","December 18, 2023 10:02 PM"
Computer Simulations,"January 31, 2023 8:39 AM","Computer science, Computing, Mathematical Modeling, Modeling and Computer Simulation, computer experiments","December 15, 2023 4:18 PM"
Operational Research,"August 11, 2021 11:54 AM","Business, Computer science, Math, Queue analysis, Science, Waiting lines","December 15, 2023 4:17 PM"
Algebra,"December 15, 2023 10:11 AM",,"December 15, 2023 10:19 AM"
Stochastic processes,"September 6, 2023 11:35 AM","Brownan motion, space of states, stochastics process, time series","December 13, 2023 2:43 PM"
Algorithms and data structures,"December 12, 2022 8:10 PM","Analysis of algorithms, Computer science, Data structures, Programming, Theoy of algorithms","December 10, 2023 10:22 PM"
Computer vision and Image processing,"November 24, 2022 6:26 PM",,"December 10, 2023 7:41 PM"
Scientific Computing,"June 9, 2021 12:27 PM","Computer science, Math, Numerical Methods, Numerical analysis","December 10, 2023 6:25 PM"
"Data mining. Data analysis. ","July 6, 2022 7:29 AM","Algorithms, Computer science, Math, Probability, Science, Statistics","December 6, 2023 9:51 AM"
Systems,"August 20, 2022 10:14 PM","Complex systems, Dynamic systems, System theory","December 6, 2023 8:44 AM"
Computer Organization and Architecture,"July 11, 2021 4:48 PM",Computer science,"December 3, 2023 1:06 AM"
Human Life,"December 12, 2021 10:39 AM","How can you live better?, ethics, meta carlosversity, meta knowledge base, moral","November 28, 2023 11:18 AM"
Theory of Computation,"September 4, 2022 8:36 AM","Computer science, Math, Science, automata theory","November 25, 2023 8:42 PM"
Telecommunications,"July 12, 2022 2:49 PM","Computer network, Computer science, Network system, Telecommunications Networks","November 25, 2023 12:02 PM"
Information Management Concepts,"December 14, 2022 10:21 AM","Computer science, Computing, Database, Information Management","November 16, 2023 8:53 PM"
English World,"December 27, 2020 6:01 PM",,"November 7, 2023 9:56 AM"
Human-Computer Interfaces,"December 23, 2022 6:59 PM","Design, Ergonomics, HCI, Human Factors, Human-Machine Interaction, Interactive systems, Man-machine Interaction, User Experience, User Interface Design, User-centered design","November 6, 2023 12:42 PM"
