Name,Tags
9. What Compilers Can and Cannot Do by MIT,course
(How to Write a (Lisp) Interpreter (in Python)) by Norvig,
The Lisp Interpreter by Northwestern,
"Linkers and Loaders, by John Levine (Morgan Kaufmann, 1999)",
Article series about linkers by Artificial%20Languages%2021343be7940e4ae79d7b7477fb8501ea.html,
"Tutorialspoint. (2021). Compiler Design Tutorial. Recuperado el 16 de
noviembre de 2021,
de:https://www.tutorialspoint.com/compiler_design/index.htm",
https://norasandler.com/2022/03/29/Write-a-C-Compiler-the-Book.html,
"Lex & Yacc by Doug Brown, John R. Levine, and Tony Mason. O’Reilly",
"MAK, Ronald 
Writing Compilers and Interprets
2a. Edición
U.S.A.
Willey, 1996",
"RATT, T. W, ZELKOWITZ, M. V.
Lenguajes de Programación. Diseño e Implementación. 
México
Prentice Hall, 1998",
"SCOTT, Michael L.
Programming Language Pragmatics 
U.S.A.
Morgan Kaufmann, 2000",
Aho’s site,
"JEFFERY, C.L. (2021). BUILD YOUR OWN PROGRAMMING LANGUAGE: A PROGRAMMER'S GUIDE TO DESIGNING COMPILERS, INTERPRETERS, AND DSLS FOR SOLVING MODERN COMPUTING PROBLEMS. PACKT PUBLISHING.",
"FLORES-FIGUEROA, J., SAMANO-HERMOSILLO, E. (2016). CONSTRUCCIÓN DE COMPILADORES BÁSICOS: FLEX, BISON &; MINGW. EDITORIAL ACADÉMICA ESPAÑOLA.",
"NYSTROM, R. (2021). CRAFTING INTERPRETERS. GENEVER BENNING.",
"THAIN, D. (2020). INTRODUCTION TO COMPILERS AND LANGUAGE DESIGN: SECOND EDITION. INDEPENDENTLY PUBLISHED.",
"http://www1.cs.columbia.edu/~aho/cs4117/: Compilers and Interpreters: Software Verification Tools, Fall 2007, Prof. Alfred Aho",
"Niklaus Wirth and Jürg Gutknecht
Project Oberon
The Design of an
Operating System
and Compiler",
"Pietro. (2020, June 13). Compilers. Retrieved from https://pgrandinetti.github.io/compilers",
"OUCompilers. (2022, November 09). Retrieved from https://github.com/OUCompilers",
"Steinberger, T. (2020, January 29). Grumpy2 Web Compiler. Retrieved from https://oucompilers.github.io/",
"Types and Programming Languages, Benjamin Pierce",
