Name,Tags
https://www.youtube.com/watch?v=u90ViTrzQ3I&ab_channel=CarlosSanchezExplica,video
https://www.croquet.io/,operating system in web
https://www.linuxfromscratch.org/,
http://www.gnu.org/software/grub/,
https://wiki.osdev.org/Main_Page,
https://github.com/jubalh/awesome-os,Awesome list
Linux Application Development. Micheal K. Johnson and Erick W. Troan,"book, gnu environment introduction, how unix works?"
Linux Kernel in a Nutshell,reference book
Linux Programming By Example. The fundamentals by Arnold Robbins,reference book
"http://www.awprofessional.com/bookstore/product.asp?isbn=0201549794&rl=1, McCusick et. al., Addison Wesley, 1996.",
PintOS,learning operating system
https://www.udemy.com/course/virtual-machine/?referralCode=31F36F8B92A8129A16F7,
https://github.com/cfenollosa/os-tutorial,
"Niklaus Wirth and Jürg Gutknecht
Project Oberon
The Design of an
Operating System
and Compiler",
"JamesM's kernel development tutorials. (2017, January 15). Retrieved from http://www.jamesmolloy.co.uk/tutorial_html",
"Chapter 0 Preface — Computer Systems Fundamentals. (2021, June 01). Retrieved from https://w3.cs.jmu.edu/kirkpams/OpenCSF/Books/csf/html/index.html",
"JSLinux. (2021, January 09). Retrieved from https://bellard.org/jslinux",operating system in web
https://www.youtube.com/@GunnarWolf/videos,
"The Design and Implementation of the FreeBSD Operating System (2nd Edition). McKusick, Neville-Neil and Watson. 2014. Addison-Wesley Professional.",
https://www.youtube.com/@GunnarWolf/videos,
https://gwolf.sistop.org/,
