Name,Why?,Books or crucial papers,Web,Nationality,Awards and honors,Facts,Gender,Education,Social class when born,Languages she or he spokes,Age,Period
Tatu Ylönen,SSH Inventor,,,,,,,,,,,
Jim Simons,Pattern recognition,,,,,,,,,,,
Nathan Myhrvold,,,https://nathanmyhrvold.com/,,,,,,,,,
,,,,,,,,,,,,
Max Schrems,,,,,,,,,,,,
Carl Hewitt,,,,,,,,,,,,
Patrick Cousot,,,,,,,,,,,,
Karl Sims,,,,,,,,,,,,
Warren McCulloch,,,,,,,,,,,,
Walter Pitts,,,,,,,,,,,,
Jonathan Zittrain,,,,,,,,,,,,
Lawrence Lessig,,,,,,,,,,,,
Jeff Atwood,,,,,,,,,,,,
Avram Joel Spolsky,,,,,,,,,,,,
Larry Augustin,,,,,,,,,,,,
Andrew Leonard,,,,,,,,,,,,
Eric Allman,,,,,,,,,,,,
Mary Kenneth Keller,"BASIC creator, First person to earn a Ph.D. in computer science in the United States.",,,American,,Catholic religious sister,Female,University of Wisconsin–Madison,,English,,
Michael Martin Hammer,Business process re-engineering,,,,,,Male,MIT,,,,
Stuart Card,Pioneers in Human–computer interaction,,,,,,,,,,,
David L. Mills,,,,,,,,,,,,
Friedrich Kittler,Tech philosopher,,,,,,,,,,,
Fabrice Bellard,"Bellard's formula, FFmpeg, LZEXE, QEMU, jslinux",,https://bellard.org/,French,,,Male,École polytechnique,,"English, French",,
Almon Brown Strowger,,,,,,,,,,,,
Thomas Young (scientist),The Last Man Who Knew Everything,,,,,,,,,,,
Joe Armstrong,co-designers of the Erlang programming language.,,,American,,,Male,,,,,
Nicole Wong,,,,American,,,Female,,,,,
Stuart J. Russell,,,https://people.eecs.berkeley.edu/~russell/,British,,,Male,,,,,
Rick Falkvinge,,,http://falkvinge.net/,,,,,,,,,
Mike Muuss,author of the network tool ping.,,,,,,,,,,,
Gualtiero Piccinini,,,,,,,,,,,,
Håkon Wium Lie,creator of CSS,,https://www.wiumlie.no/en,Norwegian,,,Male,,,English,,
Jeff Dean,lead of Google AI,,https://research.google/people/jeff/,American,,,Male,,,English,,
Krysta Svore,,,,,,,,,,,,
Ray Milton Dolby. Ray Dolby.,,,,,,,,,,,,
Sir Ronald Aylmer Fisher. R.A. Fisher.,,,,,Fellow of the Royal Society,He introduced the Iris flower data set,Male,,,,,
Gavin Wood,,,,,,,,,,,,
Sergey Yablonsky,,,,"Soviet Union, URRS",,,Male,,,,,
Leonard Kleinrock,"ARPANET consultor, Theoretical Foundations of data comunication.",,https://webcache.googleusercontent.com/search?q=cache:8vd0YEN_QsoJ:https://www.lk.cs.ucla.edu&strip=1&vwsrc=0,American,,,Male,"City College of New York; MIT ",,,,
Larry Arnold Wall,Perl's author,,http://www.wall.org/~larry/,American,,,Male,,,,,
https://twitter.com/AbogadoDigital,First Lawyer in Mexico about Cybersecurity,,,,,,,,,,,
Arthus Burks,ENIAC coinventor,,,,,"""program"" word inventor",,,,,,
John W. Mauchly,"ACM Founder, BINAC, EDVAC, ENIAC, UNIVAC",,,,,,,,,,,
