Name,Author,What is she or he talking about?,Who recommends it?,Where?,Classification,Why?
Code and Other Laws of Cyberspace and Code: Version 2.0,Lawrence Lessig,,,,,"""Code is law.”"
"The Idea Factory: Learning to Think at MIT Paperback – October 1, 2001 by Pepper White",Pepper White,,,,,
The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,,,Bell Labs,"Book, Business, Innovation, Organization",Bell Labs History
French school of programming Ecole 42 https://42.fr/en/homepage/,,,,,,
International Obfuscated C Code Contest,,,,,,
"Understanding the Digital World: What You Need to Know about Computers, the Internet, Privacy, and Security, Second Edition Brian W. Kernighan ",Brian W. Kernighan,,,,,
Evans & Sutherland,,,,,,
École polytechnique,,,,,,
You and your research,Richard Hamming,,,Bell Labs,Conference,
Microsoft Research,,,,,,
New Math movement,,,,,,
The Floor,Russell Edson,,,,Poem,
Luddite,,,,,,
There is No Software,Friedrich Kittler,,,,,
Votrax,,,,,,
Encyclopedia of things considered harmful,,,,,"Economics, Encyclopedia, Software",
Playlist (Spotify) Story,,,,,,
http://piratpartiet.se/,,,,,,
Engelberger Robotics Award,,,,,,
"Making chalk mark on generator, $1. Knowing where to make mark, $9,999.",Charles Steinmetz,,,,,
"A Cypherpunk's Manifesto by Eric Hughes. (2017, January 30). Retrieved from https://www.activism.net/cypherpunk/manifesto.html",,,,,,
Cyberpunk: Outlaws and Hackers on the Computer Frontier ISBN 0-684-81862-0,,,,,,
“You can learn a subject without picking up a textbook”,Ullman,,,,Quote,
Bell Labs,,,,,,Researcher’s nirvana
"Auletta, K. April 30, 2012. “Get Rich U.”, The New Yorker.",Ken Auletta,,,,"Article, Business, Hennessy tribute, Silicon Valley, Stanford",
Why Jeff Bezos banned PowerPoint presentations at Amazon:,,,,,,
Kleene Award,IEEE,,,,,
Object-oriented programming is an exceptionally bad idea that could only have originated in California.,Edsger W. Dijkstra,,,,,
Brave behind bars,mit,,,,,
Competitive Programming,,,,,,
International Collegiate Programming Contest,,,,,,
Olympiad in Informatics,,,,,,
International Mathematical Olympiad,,,,,,
International Physics Olympiad,,,,,,
The Programmer’s Guide To Theory: Great ideas explained,MIke James,,,,,
Turing Award,,,,,,
Gödel Prize,,,,,,
"Edsger W. Dijkstra Paper Prize in Distributed Computing,in short Dijkstra Prize",,,,,,
Kung Fury,,,,,,
IEEE John von Neumann Medal,,,,,,
Grace Murray Hopper Award,,,,,,
PROSOFT,,,,Mexico,,
50 años de la computación en México y 25 años de la computación en el CINESTAV,,,,,,
GATE CS,,,,,,
CSAT,,,,,,
First Computer Science department was Cambridge,,,,,,
An open letter to hobbyists,Bill Gates,,,,,
What Desires Are Politically Important? - Bertrand Russell,Bertrand Rusell,,,,,
http://www.ted.com/talks/kevin_slavin_how_algorithms_shape_our_world?language=en,Kevin Slavin,,,,,
https://www.youtube.com/watch?v=cidchWg74Y4,,,,,,
https://www.youtube.com/watch?v=9LfmrkyP81M,,,,,,
https://www.youtube.com/watch?v=86xWVb4XIyE,,,,,,
https://www.youtube.com/watch?v=9ei-rbULWoA,,,,,,
Bicentennial Man,Asimov,,,,,
Jargon File or Hacker Dictionary,,,,,,
The Cathedral and the Bazaar,Eric S. Raymond,,,,,
Unnatural Selection: Why the Geeks Will Inherit the Earth.,Mark Roeder,,,,,
IEEE,,,,,,
ACM,,,,,,
Stanford,,,,,,
University of Cambridge,,,,,,
University of Aizu,,,,,Organization,
MIT,,,,,,
"Gödel, Escher, Bach: an Eternal Golden Braid",Douglas R. Hofstader,,,,Book,
Snow Crash,,,,,,
Hacker & Painters,Paul Graham,,,,,
XKCD,,,,,,
https://www.youtube.com/watch?v=xx310zM3tLs,Jeremy Howard,,,,,
My advice to young people,Donald Knuth,,,,,
Richard Feynman on Computing,Richard Feynman,,,,,
The Myth of the Genus Programmer,"Ben Collins-Sussman, Brian Fitzpatrick",,,,,
Alan Kay's Turing Award Lecture,Alan Kay,,,,,
http://www.catb.org/~esr/faqs/hacker-howto.html,Eric S. Raymond,,,,,
FAQ,Stephen Wolfram,,,,,
Life A Users Manual,Georges Perec,,,,,
Just for Fun: The Story of an Accidental Revolutionary,Linus Torvalds,,,,,
https://www.youtube.com/watch?v=BzphqTn1wPc&index=4,Bjarne Stroustrup,,,,,
https://www.youtube.com/watch?v=tj8BoOYvo00&index=6,Bjarne Stroustrup,,,,,
All questions answered,Donald Knuth,,,,,
The future doesn’t have to be incremental,Alan Kay,,,,,
Thinking above the code,Leslie Lambport,,,,,
Hobbits would make great programmers,Larry Wall,,,,,
https://www.youtube.com/watch?v=iMjjlPXtDWM,Larry Wall,,,,,
How to code like Larry Wall,Larry Wall,,,,,
https://www.youtube.com/watch?v=UScm9avQM1Y,Larry Wall,,,,,
Fantasia Apocalyptica,Donald Knuth,,,,,
"You think you know when you learn, are more sure when you can write, even more, when you can teach,
but certain when you can program.
—",Alan Perlis,,,,Quote,
5 programming languages everyone should know,Larry Wall,,,,,
Empire by Jeremy Paxman,,,,,,
Hackers: Heroes of the Computer Revolution,Steven Levy,,,,,
Preventing the Collapse of Civilization,Jonathan Blow,,,,,
,Robert A. Heinlein,,,,,
"MMERSLEY, J. M., 1968, On the enfeeblement of mathematical skills by 'Modern Mathematics' and by similar soft intellectual trash in schools and universities,Bulletin of the Institute for Mathematics and Its Applications, vol. 4, pp. 66-85",,,,,,
"AUSTIN, A. K., 1967, Modem research in mathematics, Mathematics Gazette, vol. 51, pp. 149-150",,,,,,
"Knuth, D. E. (1973). The dangers of computer-science theory. In Studies in Logic and the Foundations of Mathematics (Vol. 74, pp. 189-195). Elsevier.",Donald Knuth,,,,,
"Knuth, Donald E. “Theory and Practice.” Theoretical Computer Science, vol. 90, no. 1, Nov. 1991, pp. 1–15. Crossref, https://doi.org/10.1016/0304-3975(91)90295-d.",Donald Knuth,,,,,
Things a Computer Scientist Rarely Talks About by Donald Knuth,Donald Knuth,,,,,
"Shasha, Dennis; Cathy Lazere (September 1995). Out of Their Minds: The Lives and Discoveries of 15 Great Computer Scientists. Springer. ISBN 0-387-97992-1.",,,,,,
Informatik. Music group.,,,,,,
https://dl.acm.org/doi/epdf/10.1145/355604.361591,Edsger W. Dijkstra,,,,,
High Performance Computing Act of 1991,,,,,,
Tanenbaum–Torvalds debate,,,,,,
IBM vs Harvard by IBM ASCC,,,,,,
Homebrew club,,,,,,
Pennsylvania University (ENIAC) vs Iowa State University's (ABC),,,,,,
https://www.18thcenturycommon.org/the-turk-and-automata-of-the-18th-century/,,,,,,
Control Data Corporation vs Sperry Rand trial. Who invented the first computer?,,,,,,
Warren Buffer and Bill Gates are friends,,,,,,
Taligent,,,,,,
Paul Allen was banned from the University of Washington's computer science lab,,,,,,
https://www.youtube.com/watch?v=hv31vOJzpps&ab_channel=rezo,,,,,,
Killer application,,,,,,
Fluid Concepts and Creative Analogies,Douglas R. Hofstader,,,,Book,
