Name,Tags,Created time
bleat,,"July 6, 2024 7:13 PM"
,,"June 25, 2024 11:10 AM"
band saw,,"June 25, 2024 11:10 AM"
scrap,,"June 25, 2024 11:09 AM"
sawdust,,"June 25, 2024 11:09 AM"
Saw blades,,"June 25, 2024 11:03 AM"
sawed boards,,"June 25, 2024 10:59 AM"
Warehouse,,"June 25, 2024 10:32 AM"
lumber industry,,"June 25, 2024 10:24 AM"
Gig economy,noun,"June 25, 2024 10:17 AM"
oversee,"examine, inspect, supervise, verb","June 25, 2024 10:05 AM"
tribal confederacies,,"June 25, 2024 10:01 AM"
shephred,"job, noun","June 25, 2024 10:01 AM"
craft,,"June 25, 2024 10:00 AM"
Surplus,"disequilibrium, economics, noun","June 25, 2024 10:00 AM"
guild,"association, noun","June 25, 2024 10:00 AM"
tapestry,,"June 24, 2024 9:11 AM"
Woven,"fabric, noun","June 24, 2024 9:11 AM"
Slippery,,"June 24, 2024 8:28 AM"
Oily,,"June 24, 2024 8:28 AM"
Slithery,,"June 24, 2024 8:28 AM"
get a line on,"hurry up, informal","June 24, 2024 8:18 AM"
"interested in ",collocation,"June 24, 2024 8:10 AM"
Take it easy,"idiom, relax","June 20, 2024 9:32 AM"
eat outside / eat out,,"June 20, 2024 9:31 AM"
especially / specially,,"June 20, 2024 9:27 AM"
in time / on time,,"June 20, 2024 9:26 AM"
Rush time,,"June 20, 2024 9:23 AM"
went out,,"June 20, 2024 9:20 AM"
unlikely/likely,,"June 20, 2024 9:19 AM"
petrol,,"June 20, 2024 9:17 AM"
Go away,,"June 20, 2024 9:17 AM"
get to,,"June 20, 2024 9:16 AM"
go away,,"June 20, 2024 9:15 AM"
Cruising,,"June 20, 2024 8:27 AM"
Unfasten,,"June 20, 2024 8:22 AM"
a,,"June 17, 2024 9:17 AM"
,,"June 17, 2024 9:18 AM"
conceal,,"June 17, 2024 9:12 AM"
Underneath,,"June 17, 2024 9:11 AM"
switch up,to change usually in a way that brings an improvement:,"March 3, 2024 4:09 PM"
"max out ",to do or have as much as possible of something or too much of something,"March 3, 2024 4:09 PM"
Against this backdrop,,"January 30, 2024 9:11 AM"
the milk of human kindness,,"December 25, 2023 4:03 PM"
put to,being the responsibility of,"November 20, 2023 9:15 AM"
surly,,"November 6, 2023 12:29 PM"
sullen,,"November 6, 2023 12:29 PM"
groom,,"November 6, 2023 12:28 PM"
clashed,"meet and come into violent conflict., verb","November 6, 2023 12:25 PM"
airborne,,"November 6, 2023 10:35 AM"
took off,,"November 6, 2023 10:34 AM"
clinging,"to stick onto or hold something, verb","November 6, 2023 10:33 AM"
wounded,,"November 6, 2023 10:29 AM"
airlift,,"November 6, 2023 10:29 AM"
barely,,"November 6, 2023 10:29 AM"
hamper,hinder or impede the movement or progress of.,"November 6, 2023 10:17 AM"
crippling,,"November 6, 2023 10:11 AM"
cut back,,"November 6, 2023 8:43 AM"
matter-of-fact,,"October 20, 2023 10:07 AM"
hooker,,"October 20, 2023 9:21 AM"
put up,,"October 20, 2023 9:06 AM"
can’t stand,,"October 20, 2023 9:04 AM"
put up with,"accept someone or something that is annoying, idiom","October 20, 2023 9:03 AM"
"flowerpot, planter, planterette or plant pot",,"September 25, 2023 11:21 AM"
a good deal of,much,"September 25, 2023 10:49 AM"
cut something down,"to reduce the number amount or size of something, verb","September 25, 2023 10:42 AM"
plenty,"adverb, more than enough, noun, pronoun","September 25, 2023 10:38 AM"
hurry,,"September 19, 2023 8:19 AM"
lacklustre,,"September 18, 2023 11:55 AM"
come across,find,"September 18, 2023 11:11 AM"
sheer,,"September 18, 2023 11:07 AM"
hectic,"adjective, frantic activity","September 18, 2023 10:58 AM"
washed up,,"September 18, 2023 10:37 AM"
wraith,,"September 18, 2023 10:03 AM"
merry,"cheerful, lively","September 18, 2023 10:02 AM"
rub,,"August 11, 2023 12:08 PM"
naughtynaughty,,"July 10, 2023 7:49 PM"
honet,,"September 18, 2023 11:05 AM"
fritter away,they waste X on unimportant or unnecessary things,"July 10, 2023 7:23 PM"
fritter,,"July 10, 2023 7:21 PM"
the such,,"July 10, 2023 7:08 PM"
fond of,having a liking for,"July 10, 2023 7:06 PM"
