Name,Tags
https://www.youtube.com/playlist?list=PL3swII2vlVoVbav6FV98pidq6BsTN4u56,"caltech, course, pintos, slides, video"
"CS 162 Operating Systems and Systems Programming - University of California, Berkeley","course, video"
"Operating System Concepts, 10th edition. Abraham Silberschatz, Greg Gagne, Peter B. Galvin.","book, high-level ""concepts"" book, the dinosaur book"
Understanding the Linux Kernel. Authors: Bovet and Cesati. Publisher: O’Reilly.,"book, lower-level ""implementation"" book"
"Principles of Modern Operating Systems. José M. Garrido, Richard Schlesinger, Kenneth Hoganson","book, java implementation"
Kernel Projects for Linux by Gary Nutt,"book, c language, it complements an OS theory book, laboratory manual of Linux internal exercises"
The MINIX book. Operating systems Design and Implementation. Andrew S. Tanenbaum and Albert S. Woodlhull,"balance between theory and practice, c language"
"Tanenbaum, A. S., & Bos, H. (2014). Modern Operating Systems (4th ed.). Pearson.","book, c language, theory-focus"
How to Make a Computer Operating System,"c++, no proof-of-concept"
https://tuhdo.github.io/os01/,"assembly, c language, self-learner"
"6.828 https://ocw.mit.edu/courses/6-828-operating-system-engineering-fall-2012/ MIT ","course, dialogue, video"
"Operating Systems: Three Easy Pieces - University of Wisconsin, Madison","book, course"
Operating Systems Development,
The little book about OS development,
Operating systems: principles and practice by Tom Anderson and Mike Dahlin,
"Writing a Simple Operating System —
from Scratch by Nick Blundell, School of Computer Science, University of Birmingham","book, no proof-of-concept"
CS 111: Operating Systems Principles  by Stanfrod,
"CS 111: Operating System
Principles by UCLA",
