Name,Tags
"Sipser, Michael. Introduction to the Theory of Computation. 3rd ed. Cengage Learning, 2012. ISBN: 9781133187790.",
"Hopcroft, J., Motwani, R. and Ullman, J., 2007. Introduction to automata theory, languages, and computation
. Boston: Pearson Addison-Wesley.",
"Denning, P. J., Dennis, J. B., & Qualitz, J. E. (1978). Machines, Languages and Computation. Prentice Hall Professional Technical Reference. doi: 10.5555/578597",
The Language of Machines: an Introduction to Computability and Formal Languages. Robert Floyd and Richard Beigel,
"Michael Sipser. 18.404J Theory of Computation. 
Fall 2020. Massachusetts Institute of Technology: MIT OpenCourseWare, https://ocw.mit.edu/courses/mathematics/18-404j-theory-of-computation-fall-2020
. License: https://creativecommons.org/licenses/by-nc-sa/4.0/",
Automata Theory by Jeffrey D. Ullman,"course, coursera"
"A. V. Aho (ed.) Currents in the Theory of Computing.
 Prentice Hall, 1973. https://en.wikipedia.org/wiki/ISBN_(identifier)
 https://en.wikipedia.org/wiki/Special:BookSources/0-13-195651-5",
COMS W3261 Computer Science Theory Section 001 Fall 2017 by Alfred Aho,course
CS 332 at Boston University. Fundamentals of Computing by Leonid A. Levin,course
Discrete Mathematics course at Calvin College.,
The Programmer’s Guide To Theory: Great ideas explained by Mike James,"book, gentle introduction"
"J.Martin, ―Introduction to Languages and the Theory of Computation, Third Edition,
TMH, 2007J.Martin, ―Introduction to Languages and the Theory of Computation, Third Edition,
TMH, 2007",
Knuth Art of Programming Volume 6. The Theory of Context-free Languages,
https://www.nesoacademy.org/cs/04-theory-of-computation,
