Name,Tags
"Computer Organization and Design: The Hardware/Software Interface by Patterson and Hennessy, Morgan Kaufmann","best, book"
"Structured Computer Organization by Andrew Tanenbaum, Prentice Hall.",book
"Introduction to Computing Systems: From Bits and Gates to C and Beyond, Second Edition by Patt and Patel, McGraw-Hill.",book
"Computer Organization by Hamacher, Vranesic, and Zaky, McGraw-Hill.",book
https://web.stanford.edu/class/archive/cs/cs107/cs107.1216/ Computer Organization & Systems,"Stanford, course"
CS24 Introduction to Computing Systems,"Caltech, course"
Computation Structures,"course, mit"
"Harris, David, and Sarah Harris. Digital design and computer architecture. Elsevier, 2012.",book
Logic and Computer Design Fundamentals by Charles R. Kime and M. Morris Mano,book
Computer Architecture: A Quantitative Approach. David A. Patterson y John L. Hennessy.,book
The Elements of Computing Systems: Building a Modern Computer from First Principles. Noam Nisan y Shimon Schocken.,
Essentials of Computer Organization and Architecture by Linda Null and https://www.amazon.com/-/es/s/ref=dp_byline_sr_book_2?ie=UTF8&field-author=Julia+Lobur&text=Julia+Lobur&sort=relevancerank&search-alias=books,
CS 61C Great Ideas in Computer Architecture (Machine Structures),Berkley
CSE351: The Hardware/Software Interface,
6.004 Computation Structures by MIT,"course, mit"
