Name,Tags
"Forouzan, B. A. Data communications and
networking. 2012 McGraw Hill",book
"Martínez Martínez Evelio; Serrano Santoyo, Arturo
(2012). Fundamentos de Telecomunicaciones y
Redes. Convergente","book, spanish"
"Computer Networking: A Top-Down Approach, 7th Edition, by James
Kurose and Keith Ross, Addison Wesley",book
"Stallings, W. (2012). Data and computer
communications. Pearson/Prentice Hall.",book
https://ocw.mit.edu/courses/6-829-computer-networks-fall-2002/ 6-829 MIT,course
CS 144: Introduction to Computer Networking Stanford,course
CS/EE 143 Communication Networks Caltech,course
CSEP 561 – Network Systems University of Washington,course
"Tanenbaum, Wetherall Computer Networks 5e",course
14-740: Fundamentals of Computer Networks,course
https://www.youtube.com/playlist?list=PLFB088DB91845CA34,course
Computer Networks by Andrew S. Tanenbaum and David J. Wetherall,book
https://www.youtube.com/watch?v=qiQR5rTSshw by Free Code Camp and M.B.A. Brian J. Ferril,
"Unix Network Programming. W. Richard Stevens, Bill Fenner y Andrew M. Rudoff.",
https://www.youtube.com/watch?v=uDT1pXbMzxU&list=PLoSXSvrsxf1QW9EdooJMYkzhzOuP8PmDA&ab_channel=FundacionTeleddes,spanish
Principles of Communications Networks and Systems,
Cyclic redundancy check,
https://www.youtube.com/watch?v=VwN91x5i25g&list=PLBlnK6fEyqRgMCUAG0XRw78UA8qnv6jEx&ab_channel=NesoAcademy,
"[Bur99] M. Burgess, Principles of Network and System Administration: Wiley, 1999.",
