Name,Person
Lenguajes gesto-espaciales,"Ernesto Adrian Lozano De la Parra, Carlos Sanchez"
,
P2P Web Media Player with Recommender system,
"[Programa Delfín 2023] Asignación de CIE-10 a notas médicas en Español ",
Breast Cancer Risk Assessment Tool (BCRAT),
Detect Serendipitous Stellar Occultations with Deep Learning,
Socially-Assistive Robots for Dementia Care on Embodied Voice Assistant (Eva),
Alpha Language Specification - Compute Engine,
Sexual Market Value ranker,
Oleksiy Academy,
Mexican Deep DICOM,
Arsus Startup,
CEST OS. Your modern simple operating system from scratch on the Web.,
Tic-tac-toe Web on POSIX Sockets and WebRTC,
"Facultad de ciencias, UABC web",
Sistema de captura del Formato 911 para Coordinación General de Vinculación y Cooperación Académica,
Make your own minicompiler (aka parser) on the Web in Plain English (Calculator with C++),
UABC Scheduler,
Evolufy: A Browser-based Investment Portfolio Optimization Library Utilizing Genetic Algorithms and Transfomers for Sustainable Decision-making,
Human Life and Knowledge base Technology,
Pathfinder environment with mazes,
Theory of computation project,
CICESE PyK-Ar - A free software tool for the K-Ar dating in the cloud,
UABC Google Developer Student Club & Arsus Community,
Arsus App,
"20 Questions Game on Google Assistant, Telegram, and Whatsapp",
Computer vision about Hirudo medicinalis' tissues,
UABC SIIIP,
IMSS API,
SITAFE,
INFONAVIT API,
RFC API,
Mexican Finder API,
RSS Emitter API,
Ideas,
Youtube Animation (Comic + Manim + GPT-3),
CURP Renapo API,
