Name,Assign,Checked,Status
[DOCS] Getting started for raw API,,Yes,Completed
Ideas startup,,No,
CURP Reboot,,No,In progress
Government Auth 2,,No,In progress
Cambiar de formato de fecha,,No,To do
"Exportar: CloudFunctions, Firebase Store, Firebase Auth ⇒ Server Dedicado, MongoDB, PassportJS",Raúl Abad,No,To do
Info electoral y contratos (volver simple el accesso el informacion de gobierno),Raúl Abad,No,To do
CRM,,No,To do
Infonavit API - Mostrar calculo de puntos,,No,To do
RFC API,,No,To do
INE API,,No,To do
Telmex API,,No,To do
IMSS API,,No,To do
[UX] WordPress plugin,,No,To do
[UX] Zoho Form,,No,To do
[UX] Zapier,,No,To do
"Data driven ",,No,To do
Contrato inteligente. Dapps,,No,To do
Growth marketing,,No,To do
[UX] RPA tasks,,No,To do
[DOCS] Languages implementation,,No,To do
IMSS Response,,No,To do
SEPOMEX Finder (CP),,No,To do
Mexican finder,,No,To do
[UX] Web component.,,No,To do
[DOCS] Developer Reviews,,Yes,Completed
Add changelog,,No,To do
"[Open Source] Becoming a Public Project ",,No,Completed
Mexican Finder,,No,
Rapidapi,,No,To do
Response time performance (~50 ms),,No,To do
INE Validator,,No,To do
"As a consumer API, I want to Error management So that I show an error to a final user. ",,No,Completed
[UX] Google Form template.,,No,Completed
Infonavit Response,,No,Completed
Redis,,No,To do
API Subdomain,,No,To do
Wordpress plugin,,No,To do
Webhook payment,,No,To do
Dashboard business intelligence,,No,To do
Justice API,,No,To do
Research API,,No,To do
Person Validator,,No,To do
Credit API,,No,To do
Support,,No,To do
Sandbox,,No,To do
Smart contract by electronic billing,,No,To do
PDF,,No,To do
CURP data,,No,To do
RFC data,,No,To do
Whatsapp government,,No,To do
IMSS data,,No,To do
Justice data,,No,To do
Marketplace electronic billing,,No,To do
Certification API,,No,To do
INE API,,No,To do
RFC legal person,,No,To do
Legal person,,No,To do
Business Intelligence,,No,To do
